"amp_on","amp","feedback_level","Variable","subject_id","Mean","Error"
0,1,0,"Accuracy",1,0.8265,0.00846963649581171
0,1,0,"H",1,0.142739428669026,0.00246539743571843
0,1,0,"P",1,0.165742778246725,0.0014086085516924
1,1,0,"Accuracy",1,0.8185,0.00862067474253079
1,1,0,"H",1,0.143485231520979,0.00253496109659863
1,1,0,"P",1,0.144832082581887,0.00145291128356908
0,1,0,"Accuracy",2,0.8005,0.00893811053354986
0,1,0,"H",2,0.197697759634906,0.00258234286933051
0,1,0,"P",2,0.166786515612154,0.0013631122606658
1,1,0,"Accuracy",2,0.791,0.009094000793117
1,1,0,"H",2,0.20292861658854,0.00281625520591946
1,1,0,"P",2,0.156294645162507,0.00137930714910405
0,1,0,"Accuracy",3,0.795,0.00902930031243097
0,1,0,"H",3,0.234522980248129,0.00358097556882611
0,1,0,"P",3,0.174572191493254,0.00138121990711702
1,1,0,"Accuracy",3,0.8005,0.00893811053354986
1,1,0,"H",3,0.236872471838734,0.00327632350383512
1,1,0,"P",3,0.146122535849201,0.00128770738041384
0,1,0,"Accuracy",4,0.8245,0.00850800023707199
0,1,0,"H",4,0.215479610249714,0.00258545216406269
0,1,0,"P",4,0.172388594605563,0.00149630246258772
1,1,0,"Accuracy",4,0.796,0.0090129138633493
1,1,0,"H",4,0.228452195310788,0.00233502228758405
1,1,0,"P",4,0.159493026791129,0.00154944891984006
0,1,0,"Accuracy",5,0.848,0.00802995891148018
0,1,0,"H",5,0.229630654326631,0.00364438797744084
0,1,0,"P",5,0.168177626761512,0.00112167508413581
1,1,0,"Accuracy",5,0.8395,0.00820996813565036
1,1,0,"H",5,0.223829558374056,0.00353443259449746
1,1,0,"P",5,0.14364149036261,0.00105486092539964
0,1,0,"Accuracy",6,0.852,0.00794226288723088
0,1,0,"H",6,0.162836178473574,0.00267614041483725
0,1,0,"P",6,0.150279510927904,0.00173219934851672
1,1,0,"Accuracy",6,0.8145,0.00869382921002975
1,1,0,"H",6,0.154703836342945,0.00238831633863136
1,1,0,"P",6,0.155099308354288,0.0018136696425105
0,1,0,"Accuracy",7,0.8665,0.00760708938454467
0,1,0,"H",7,0.164230194173352,0.00293922254936913
0,1,0,"P",7,0.141764632868824,0.0013202355945827
1,1,0,"Accuracy",7,0.8605,0.00774918705090895
1,1,0,"H",7,0.166712231931004,0.00273849220528375
1,1,0,"P",7,0.131879782647333,0.00133795514190191
0,1,0,"Accuracy",8,0.81,0.00877430876178423
0,1,0,"H",8,0.212986720769844,0.0028873841662902
0,1,0,"P",8,0.171449457830779,0.00166975904157309
1,1,0,"Accuracy",8,0.8155,0.0086756849155774
1,1,0,"H",8,0.199844734027407,0.00294717842825781
1,1,0,"P",8,0.145213338830893,0.00133962633635766
0,1,0,"Accuracy",9,0.8075,0.00881820590470016
0,1,0,"H",9,0.214650480478915,0.00298209752558746
0,1,0,"P",9,0.155809581638669,0.00146062706722635
1,1,0,"Accuracy",9,0.8155,0.0086756849155774
1,1,0,"H",9,0.206755161932148,0.00321201678748923
1,1,0,"P",9,0.12922917282361,0.00155722988074306
0,1,0,"Accuracy",10,0.841,0.008178810822683
0,1,0,"H",10,0.157492641752183,0.00304092697520326
0,1,0,"P",10,0.147652541396259,0.00148666624333794
1,1,0,"Accuracy",10,0.811,0.00875658831506082
1,1,0,"H",10,0.144536373840557,0.00294439236042311
1,1,0,"P",10,0.142602581222396,0.00138524029406675
0,1,0,"Accuracy",11,0.8525,0.00793116174739437
0,1,0,"H",11,0.23299184118782,0.00241155880288708
0,1,0,"P",11,0.140619066027154,0.00148297927212871
1,1,0,"Accuracy",11,0.817,0.00864828864274454
1,1,0,"H",11,0.234593325573605,0.00248947264053254
1,1,0,"P",11,0.13768277304778,0.0013346850870423
0,1,0,"Accuracy",12,0.8485,0.00801910394084071
0,1,0,"H",12,0.168707585021283,0.00287670975406438
0,1,0,"P",12,0.143744382248702,0.00140276624993042
1,1,0,"Accuracy",12,0.813,0.00872086731715267
1,1,0,"H",12,0.165220009115364,0.00305298998473375
1,1,0,"P",12,0.137868264694514,0.00137976839261899
0,1,0,"Accuracy",13,0.805,0.00886153278963018
0,1,0,"H",13,0.201067822384728,0.00301560063731421
0,1,0,"P",13,0.163625921771807,0.00140589992435406
1,1,0,"Accuracy",13,0.7845,0.00919631236314536
1,1,0,"H",13,0.202227296976862,0.00307095321758126
1,1,0,"P",13,0.150360353136765,0.00123643233880481
0,1,0,"Accuracy",14,0.8315,0.00837191253297177
0,1,0,"H",14,0.173198273692987,0.00255824465290444
0,1,0,"P",14,0.134625112090652,0.00140283140368664
1,1,0,"Accuracy",14,0.817,0.00864828864274454
1,1,0,"H",14,0.165663397449955,0.00284673821735444
1,1,0,"P",14,0.1303100070261,0.001440636150793
0,1,0,"Accuracy",15,0.836,0.00828168419746692
0,1,0,"H",15,0.202327125937071,0.00307416892691864
0,1,0,"P",15,0.147294658090304,0.00140476746841919
1,1,0,"Accuracy",15,0.829,0.0084211019159454
1,1,0,"H",15,0.19243266242656,0.00314379881479981
1,1,0,"P",15,0.141519891219133,0.00139264944276229
0,1,0,"Accuracy",16,0.872,0.00747234353860819
0,1,0,"H",16,0.157255664451286,0.00307574412814613
0,1,0,"P",16,0.139463074652696,0.0014583500713822
1,1,0,"Accuracy",16,0.83,0.00840150537977112
1,1,0,"H",16,0.160928904996742,0.00250765158757366
1,1,0,"P",16,0.147288810177484,0.00149735159278693
0,1,0,"Accuracy",17,0.8365,0.00827152247424989
0,1,0,"H",17,0.188249379324587,0.00311620694765013
0,1,0,"P",17,0.170279531002987,0.00133388948105182
1,1,0,"Accuracy",17,0.8235,0.00852702938396822
1,1,0,"H",17,0.173604325607843,0.00301532302958675
1,1,0,"P",17,0.149809817584188,0.00134738789589463
0,1,0,"Accuracy",18,0.759,0.00956583779008996
0,1,0,"H",18,0.187906681366899,0.00284739610740242
0,1,0,"P",18,0.168844387282886,0.0016244208981018
1,1,0,"Accuracy",18,0.771,0.00939806691989983
1,1,0,"H",18,0.167904526025248,0.00277865792837366
1,1,0,"P",18,0.14557878528671,0.00152564938130437
0,1,0,"Accuracy",19,0.846,0.00807307793184525
0,1,0,"H",19,0.192837765294819,0.00319916518699774
0,1,0,"P",19,0.141382815922607,0.00136256386968575
1,1,0,"Accuracy",19,0.847,0.00805157835191203
1,1,0,"H",19,0.182593796459149,0.00308476593459503
1,1,0,"P",19,0.121420487432471,0.00126163960472923
0,1,0,"Accuracy",20,0.8155,0.0086756849155774
0,1,0,"H",20,0.216027925142128,0.00279688420806669
0,1,0,"P",20,0.170797652590859,0.00122236818915568
1,1,0,"Accuracy",20,0.808,0.00880947236795149
1,1,0,"H",20,0.205704546107896,0.0029027379495399
1,1,0,"P",20,0.148287592048597,0.00133562931640379
0,1,0,"Accuracy",21,0.856,0.00785256845979122
0,1,0,"H",21,0.166659326899044,0.00288064585380058
0,1,0,"P",21,0.127344183433656,0.00138582769578328
1,1,0,"Accuracy",21,0.822,0.00855538411169536
1,1,0,"H",21,0.155386685393487,0.00294082692224165
1,1,0,"P",21,0.129799837311223,0.00148984166063342
0,1,0,"Accuracy",22,0.808,0.00880947236795149
0,1,0,"H",22,0.184712376651833,0.00280419246499927
0,1,0,"P",22,0.165257213374815,0.00203518610665986
1,1,0,"Accuracy",22,0.8115,0.00874769318552234
1,1,0,"H",22,0.186326144873582,0.00295569284156021
1,1,0,"P",22,0.151906698949113,0.00214877035773756
0,1,0,"Accuracy",23,0.8505,0.00797537951066716
0,1,0,"H",23,0.164718285651183,0.0028644530325321
0,1,0,"P",23,0.150247469672816,0.00143330806959597
1,1,0,"Accuracy",23,0.8385,0.00823059817833349
1,1,0,"H",23,0.14886435281168,0.00260799434615411
1,1,0,"P",23,0.133871898979156,0.00133855904516834
0,1,0,"Accuracy",24,0.8005,0.00893811053354986
0,1,0,"H",24,0.171435172735522,0.00273454487898745
0,1,0,"P",24,0.162184800269136,0.00132140827386448
